Time,"Ax, g","Ay, g","Az, g","Wx, dps","Wy, dps","Wz, dps","T, C","Ax2, g","Ay2, g","Az2, g","Wx2, dps","Wy2, dps","Wz2, dps","T2, C"
15:03:42,-9.53E-05,9.95E-05,-0.00012005,0.02995844,0.01744425,-0.02217505,34.32043838,0.00034697,0.000144,-0.00015305,-0.04575062,-0.00435866,0.01798826,35.12643432
15:03:43,-9.91E-05,5.18E-05,-0.0001118,0.02858066,0.01715675,-0.0219873,34.33316421,0.00031319,0.00019697,-0.00016791,-0.04591691,-0.00422788,0.0192346,35.15637588
15:03:44,-5.81E-05,0.00010427,-0.00012972,0.02865775,0.01695962,-0.0214715,34.34155273,0.00034277,0.00016189,-0.0001563,-0.04718136,-0.00422856,0.01865647,35.16047286
15:03:45,-4.34E-05,0.00011622,-0.0001578,0.03012989,0.01761595,-0.02208636,34.34712982,0.00029875,0.0001876,-0.00017354,-0.04708677,-0.00457141,0.01852631,35.16123199
15:03:46,-3.90E-05,5.94E-05,-0.00010672,0.02866332,0.01757588,-0.02206407,34.3618431,0.0003243,0.00016141,-0.00015558,-0.04739886,-0.00389139,0.01926407,35.1844635
15:03:47,-7.94E-05,3.86E-05,-0.0001156,0.02906658,0.01721779,-0.02235744,34.37119293,0.00032695,0.00016698,-0.00016832,-0.04730664,-0.00389749,0.0193969,35.19528198
15:03:48,-7.57E-05,9.33E-05,-0.00010061,0.02881682,0.01783562,-0.02119019,34.37145614,0.00030488,0.00015244,-0.00015992,-0.04906386,-0.00394458,0.01964174,35.19129562
15:03:49,-7.93E-05,4.81E-05,-6.80E-05,0.02846856,0.01669954,-0.02199766,34.3777008,0.00029306,0.00016065,-0.00017618,-0.04594572,-0.00406888,0.0193305,35.21790695
15:03:50,-0.00011132,5.09E-05,-7.73E-05,0.02954458,0.01779339,-0.02241154,34.38910293,0.00025053,0.00014004,-0.0002093,-0.04709268,-0.00423452,0.0189343,35.20743179
15:03:51,-4.50E-07,9.49E-05,-0.00010693,0.02928444,0.01708967,-0.0223938,34.40177536,0.00026767,0.00016551,-0.00020282,-0.04737646,-0.0043762,0.01925355,35.23133468
